,path,size,file_name,file_ext,dim,file_type
0,sys32imgs\07409496-a423-4a3e-b620-2cfb01a9318d_HyperV-ComputeNetwork.dll.png,8363,07409496-a423-4a3e-b620-2cfb01a9318d_HyperV-ComputeNetwork.dll.png,.png,91,dll
1,sys32imgs\0ae3b998-9a38-4b72-a4c4-06849441518d_Servicing-Stack.dll.png,8383,0ae3b998-9a38-4b72-a4c4-06849441518d_Servicing-Stack.dll.png,.png,91,dll
2,sys32imgs\4545ffe2-0dc4-4df4-9d02-299ef204635e_hvsocket.dll.png,8433,4545ffe2-0dc4-4df4-9d02-299ef204635e_hvsocket.dll.png,.png,91,dll
3,sys32imgs\69fe178f-26e7-43a9-aa7d-2b616b672dde_eventlogservice.dll.png,8379,69fe178f-26e7-43a9-aa7d-2b616b672dde_eventlogservice.dll.png,.png,91,dll
4,sys32imgs\6bea57fb-8dfb-4177-9ae8-42e8b3529933_RuntimeDeviceInstall.dll.png,8386,6bea57fb-8dfb-4177-9ae8-42e8b3529933_RuntimeDeviceInstall.dll.png,.png,91,dll
5,sys32imgs\@AdvancedKeySettingsNotification.png.png,2648,@AdvancedKeySettingsNotification.png.png,.png,51,png
6,sys32imgs\@AppHelpToast.png.png,308,@AppHelpToast.png.png,.png,17,png
7,sys32imgs\@AudioToastIcon.png.png,374,@AudioToastIcon.png.png,.png,19,png
8,sys32imgs\@BackgroundAccessToastIcon.png.png,530,@BackgroundAccessToastIcon.png.png,.png,23,png
9,sys32imgs\@bitlockertoastimage.png.png,278,@bitlockertoastimage.png.png,.png,16,png
10,sys32imgs\@BthpropsNotificationLogo.png.png,173,@BthpropsNotificationLogo.png.png,.png,13,png
11,sys32imgs\@edptoastimage.png.png,1973,@edptoastimage.png.png,.png,44,png
12,sys32imgs\@EnrollmentToastIcon.png.png,410,@EnrollmentToastIcon.png.png,.png,20,png
13,sys32imgs\@facial-recognition-windows-hello.gif.png,238136,@facial-recognition-windows-hello.gif.png,.png,487,gif
14,sys32imgs\@language_notification_icon.png.png,620,@language_notification_icon.png.png,.png,24,png
15,sys32imgs\@optionalfeatures.png.png,770,@optionalfeatures.png.png,.png,27,png
16,sys32imgs\@StorageSenseToastIcon.png.png,410,@StorageSenseToastIcon.png.png,.png,20,png
17,sys32imgs\@VpnToastIcon.png.png,488,@VpnToastIcon.png.png,.png,22,png
18,sys32imgs\@WindowsHelloFaceToastIcon.png.png,620,@WindowsHelloFaceToastIcon.png.png,.png,24,png
19,sys32imgs\@WindowsUpdateToastIcon.contrast-black.png.png,620,@WindowsUpdateToastIcon.contrast-black.png.png,.png,24,png
20,sys32imgs\@WindowsUpdateToastIcon.contrast-white.png.png,668,@WindowsUpdateToastIcon.contrast-white.png.png,.png,25,png
21,sys32imgs\@WindowsUpdateToastIcon.png.png,620,@WindowsUpdateToastIcon.png.png,.png,24,png
22,sys32imgs\@WirelessDisplayToast.png.png,770,@WirelessDisplayToast.png.png,.png,27,png
23,sys32imgs\@WLOGO_96x96.png.png,327,@WLOGO_96x96.png.png,.png,18,png
24,sys32imgs\aadauthhelper.dll.png,255951,aadauthhelper.dll.png,.png,505,dll
25,sys32imgs\aadcloudap.dll.png,534031,aadcloudap.dll.png,.png,730,dll
26,sys32imgs\aadjcsp.dll.png,47300,aadjcsp.dll.png,.png,217,dll
27,sys32imgs\aadtb.dll.png,727665,aadtb.dll.png,.png,853,dll
28,sys32imgs\aadWamExtension.dll.png,129190,aadWamExtension.dll.png,.png,359,dll
29,sys32imgs\AarSvc.dll.png,300382,AarSvc.dll.png,.png,548,dll
30,sys32imgs\AboutSettingsHandlers.dll.png,435805,AboutSettingsHandlers.dll.png,.png,660,dll
31,sys32imgs\AboveLockAppHost.dll.png,233985,AboveLockAppHost.dll.png,.png,483,dll
32,sys32imgs\accessibilitycpl.dll.png,167703,accessibilitycpl.dll.png,.png,409,dll
33,sys32imgs\accountaccessor.dll.png,142449,accountaccessor.dll.png,.png,377,dll
34,sys32imgs\AccountsRt.dll.png,241438,AccountsRt.dll.png,.png,491,dll
35,sys32imgs\AcGenral.dll.png,254225,AcGenral.dll.png,.png,504,dll
36,sys32imgs\AcLayers.dll.png,230056,AcLayers.dll.png,.png,479,dll
37,sys32imgs\acledit.dll.png,5962,acledit.dll.png,.png,77,dll
38,sys32imgs\aclui.dll.png,325593,aclui.dll.png,.png,570,dll
39,sys32imgs\acmigration.dll.png,389721,acmigration.dll.png,.png,624,dll
40,sys32imgs\ACPBackgroundManagerPolicy.dll.png,135750,ACPBackgroundManagerPolicy.dll.png,.png,368,dll
41,sys32imgs\acppage.dll.png,85291,acppage.dll.png,.png,292,dll
42,sys32imgs\acproxy.dll.png,7571,acproxy.dll.png,.png,87,dll
43,sys32imgs\AcSpecfc.dll.png,50664,AcSpecfc.dll.png,.png,225,dll
44,sys32imgs\ActionCenter.dll.png,178777,ActionCenter.dll.png,.png,422,dll
45,sys32imgs\ActionCenterCPL.dll.png,79046,ActionCenterCPL.dll.png,.png,281,dll
46,sys32imgs\ActionQueue.dll.png,124660,ActionQueue.dll.png,.png,353,dll
47,sys32imgs\ActivationClient.dll.png,109712,ActivationClient.dll.png,.png,331,dll
48,sys32imgs\ActivationManager.dll.png,578370,ActivationManager.dll.png,.png,760,dll
49,sys32imgs\activeds.dll.png,161425,activeds.dll.png,.png,401,dll
50,sys32imgs\activeds.tlb.png,40407,activeds.tlb.png,.png,201,tlb
51,sys32imgs\ActiveHours.png.png,8431,ActiveHours.png.png,.png,91,png
